X;Y;Z;CODE;ERRP;NDEC;NAME
120.863211;24.666877;30;04c9e950-11a1-4c22-9c6e-dca01c622d84;0.05;0;蜆仔溝閘門
120.94024099999999;24.849162;30;117763f2-dc28-44a6-a089-4229f01fc059;0.05;0;竹港大橋站
120.9405;24.8455;30;45599982-f82d-4ba2-ac5c-7f23d2d3ce6e;0.05;0;舊港島淹水感測站
120.8807;24.666;30;4e8ad7f5-dc7a-4b02-845d-fe2f62856def;0.05;0;米粉街淹水感測站
120.945799;24.843603;30;4faa6db6-2320-4d01-b890-92a9a990fffd;0.05;0;白地橋站
120.879507;24.666047;30;6fb7e253-6fcd-4dbf-8add-22e7cd5b9981;0.05;0;尖山護岸站(2)
121.2319;24.954;30;8dc9eca2-7cb2-4141-8d7b-e3e85ca4eaae;0.05;0;桃園市中壢區淹水感測站
120.880622;24.666116;30;abee0abf-5f69-44b6-b095-679dc9d47330;0.05;0;尖山護岸站(1)
120.9425;24.840999999999998;30;f09c6642-8892-4d34-b7b1-219cdff664f9;0.05;0;何姓溪匯流口站
