X;Y;Z;CODE;ERRP;NDEC;NAME
394475.5947;301345.2301;30;RG001;0.05;0;RG001
396148.0064;301894.8228;30;RG002;0.05;0;RG002
398819.9751;301874.1187;30;RG003;0.05;0;RG003
399559.4169;298623.4492;30;RG004;0.05;0;RG004
397897.6661;298303.5508;30;RG005;0.05;0;RG005
398127.8105;298451.4184;30;RG005A;0.05;0;RG005A
396845.7364;296801.8906;30;RG006;0.05;0;RG006
400928.4516;297273.6855;30;RG007;0.05;0;RG007
403412.4164;297006.1221;30;RG008;0.05;0;RG008
392807.9899;295153.2425;30;RG009;0.05;0;RG009
399606.1334;295037.4857;30;RG010;0.05;0;RG010
402549.2492;294583.1357;30;RG011;0.05;0;RG011
392631.5703;292836.1358;30;RG012;0.05;0;RG012
396752.0396;292689.2278;30;RG013;0.05;0;RG013
396757.2175;293097.371;30;RG013A;0.05;0;RG013A
400915.7212;292791.6985;30;RG014;0.05;0;RG014
404459.1599;293477.1723;30;RG015;0.05;0;RG015
397989.7057;291434.2871;30;RG016;0.05;0;RG016
397188.4589;289274.8052;30;RG017;0.05;0;RG017
399173.9026;289639.011;30;RG018;0.05;0;RG018
399470.4115;286915.1906;30;RG019;0.05;0;RG019
399266.5194;285269.1118;30;RG020;0.05;0;RG020
397620.7227;300017.6901;30;RG021;0.05;0;RG021
402453.2767;295704.3248;30;RG022;0.05;0;RG022
400252.7523;295618.7693;30;RG023;0.05;0;RG023
412830.288;299490.471;30;RG024;0.05;0;RG024
408079.8053;296869.9611;30;RG025;0.05;0;RG025
398316.3008;285513.7718;30;RG026;0.05;0;RG026
408443.058;276845.4731;30;RG027;0.05;0;RG027
409574.8328;279763.3878;30;RG028;0.05;0;RG028
409519.7558;282118.2238;30;RG029;0.05;0;RG029
408581.0803;283706.999;30;RG030;0.05;0;RG030
402684.6661;288083.0563;30;RG031;0.05;0;RG031
402991.2505;289573.6697;30;RG032;0.05;0;RG032
394775.5005;298812.805;30;RG033;0.05;0;RG033
403217.6928;302415.6637;30;RG034;0.05;0;RG034
404612.0811;286450.8635;30;RG035;0.05;0;RG035
412888.9846;294413.1144;30;RG036;0.05;0;RG036
408495.7357;295519.2977;30;RG037;0.05;0;RG037
410676.8264;294095.4653;30;RG038;0.05;0;RG038
392043.4418;297547.3572;30;RG039;0.05;0;RG039
397836.7516;286720.0865;30;RG040;0.05;0;RG040
393924.1403;296650.6639;30;RG041;0.05;0;RG041
393656.2582;290372.481;30;RG042;0.05;0;RG042
414590.4024;290803.7475;30;RG043;0.05;0;RG043
415383.0496;296699.3499;30;RG044;0.05;0;RG044
409502.0207;287332.6511;30;RG045;0.05;0;RG045
405004.6861;283877.6401;30;RG046;0.05;0;RG046
402118.6921;298893.7718;30;RG047;0.05;0;RG047
409581.3959;274395.9242;30;RG048;0.05;0;RG048
407835.5701;272596.7892;30;RG049;0.05;0;RG049
409675.505;289760.5362;30;RG050;0.05;0;RG050
396547.257;295308.658;30;RG051;0.05;0;RG051
396211.6995;294291.4692;30;RG051A;0.05;0;RG051A
416635.4496;292088.6697;30;RG052;0.05;0;RG052
411631.1098;289939.255;30;RG053;0.05;0;RG053
407236.2119;290534.7645;30;RG054;0.05;0;RG054
397930.0032;276969.9974;30;RG055;0.05;0;RG055
404601.9973;277904.9998;30;RG056;0.05;0;RG056
400618.0003;279273.9979;30;RG057;0.05;0;RG057
401211.9992;284592.9954;30;RG058;0.05;0;RG058
402856.9961;283927.9957;30;RG059;0.05;0;RG059
402933.2794;284033.4255;30;RG059A;0.05;0;RG059A
400059.9993;281630.0035;30;RG060;0.05;0;RG060
400586.9989;282927.0022;30;RG061;0.05;0;RG061
401559.9985;276971.9968;30;RG062;0.05;0;RG062
402191.999;280229.0045;30;RG063;0.05;0;RG063
401956.0006;281214.0026;30;RG064;0.05;0;RG064
404264.997;281911.0031;30;RG065;0.05;0;RG065
403663.998;279095.9989;30;RG066;0.05;0;RG066
406707.0027;281486.0047;30;RG067;0.05;0;RG067
403802.5232;285140.2487;30;RG068;0.05;0;RG068
408250.4534;293885.1555;30;RG069;0.05;0;RG069
409957.3294;291352.5405;30;RG070;0.05;0;RG070
413472.6277;289617.967;30;RG071;0.05;0;RG071
410905.0827;284602.8925;30;RG072;0.05;0;RG072
406428.9627;283953.4584;30;RG073;0.05;0;RG073
406773.9938;294229.127;30;RG074;0.05;0;RG074
405222.768;294625.6335;30;RG075;0.05;0;RG075
404332.9445;291644.3069;30;RG076;0.05;0;RG076
405292.7851;289498.7611;30;RG077;0.05;0;RG077
406400.4348;287331.2415;30;RG078;0.05;0;RG078
413119.3516;287208.8066;30;RG079;0.05;0;RG079
413478.7456;291513.9043;30;RG080;0.05;0;RG080
